edad,Mujeres,Varones
0,241590,248447
1,246757,253841
2,281315,288028
3,309441,318420
4,325108,333603
5,337269,347077
6,348289,358052
7,369784,381602
8,359122,369469
9,359136,369447
10,353078,364054
11,362991,375110
12,363174,374329
13,359179,370710
14,349992,360943
15,346818,356434
16,348177,355919
17,362066,369729
18,356309,362829
19,355017,355770
20,344786,342751
21,354086,352039
22,367926,362804
23,355386,350250
24,357607,349628
25,367458,355440
26,363950,351208
27,370520,356603
28,358259,343572
29,363888,348673
30,383128,365110
31,367010,348226
32,349481,335624
33,346550,331676
34,341323,326146
35,354498,339096
36,341561,326186
37,327473,312540
38,326876,312421
39,341739,325968
40,355987,337225
41,334116,316136
42,354444,334714
43,340214,321103
44,329113,308618
45,319715,300234
46,305447,284100
47,300197,280472
48,280581,260632
49,282429,261191
50,283269,262976
51,262506,242262
52,256217,235601
53,241502,221114
54,237530,215348
55,232663,209875
56,233032,211707
57,233036,210887
58,228337,205183
59,230980,207205
60,226631,200799
61,211336,187849
62,213748,187613
63,205384,178866
64,200594,173914
65,206529,178774
66,190857,160711
67,190151,160255
68,180238,149933
69,178239,146470
70,175797,142366
71,163997,131609
72,162394,127815
73,151491,116784
74,145533,109419
75,138270,100831
76,131402,93670
77,123248,86074
78,113713,75963
79,104402,68407
80,97240,61582
81,88455,54413
82,86935,50858
83,75566,42204
84,68094,37098
85,62237,32074
86,56520,27593
87,49958,24090
88,42768,19479
89,39628,17023
90,34636,14439
91,28983,11629
92,24880,9159
93,19354,6933
94,15239,5347
95,11648,4073
96,8670,3009
97,6725,2350
98,4714,1693
99,3743,1383
100,4884,1409
