res.hab,CABA,BUENOSAIRES,CATAMARCA,CORDOBA,CORRIENTES,CHACO,CHUBUT,ENTRERIOS,FORMOSA,JUJUY,LAPAMPA,LARIOJA,MENDOZA,MISIONES,NEUQUEN,RIONEGRO,SALTA,SANJUAN,SANLUIS,SANTACRUZ,SANTAFE,SANTIAGO,TUCUMAN,TIERRADELFUEGO,NOESPECIFICADO,Total
CABA,2416772,132701,449,6151,4054,2147,2895,5950,1811,2878,1728,316,2748,4621,2150,3217,4327,778,848,1336,5134,1928,3150,958,2502,2611549
BUENOSAIRES,184070,12174048,1001,12116,11632,12659,4895,11744,4699,3751,3998,712,6288,14608,4321,8397,5560,1687,2062,2574,13914,8295,7297,3651,6144,12510123
CATAMARCA,1456,2430,281490,1705,91,84,250,138,60,243,24,361,311,158,96,73,602,105,71,252,229,1105,1751,39,2019,295143
CORDOBA,8876,16556,2095,2694909,1446,1591,1614,2550,968,3731,2144,1931,3419,1453,1812,1772,4274,2548,3993,1397,13783,3838,1988,869,2095,2781652
CORRIENTES,4355,7684,74,679,794078,3241,185,1860,1500,243,109,25,180,4317,169,122,468,24,64,186,1759,113,147,145,1224,822951
CHACO,2954,6415,44,708,2633,847175,102,279,1806,72,67,25,112,803,92,59,369,23,53,89,2581,984,172,153,729,868499
CHUBUT,2666,6932,153,1511,273,202,346617,437,82,159,227,68,1207,194,797,2915,304,240,114,2573,741,116,230,513,505,369776
ENTRERIOS,5705,12302,77,1592,2621,398,343,1006794,193,138,116,60,238,1219,325,304,229,61,91,350,4662,151,151,252,869,1039241
FORMOSA,1762,2560,42,417,1023,1427,91,176,414709,179,32,21,98,284,87,48,668,36,32,96,523,87,76,109,466,425049
JUJUY,2747,3079,177,1682,188,104,126,185,213,522262,18,127,798,94,190,124,5054,120,94,236,369,232,1457,131,458,540265
LAPAMPA,1242,5766,29,1338,148,79,245,130,81,36,259105,12,1319,123,518,967,97,51,411,114,307,31,112,62,299,272622
LARIOJA,1161,2139,1060,4696,84,83,175,97,37,298,34,242365,1188,86,111,151,560,1805,192,234,304,249,962,31,585,258687
MENDOZA,3493,6973,249,2888,416,141,870,337,107,1516,748,528,1392632,265,2008,1278,1744,2764,2370,610,994,253,1042,360,746,1425332
MISIONES,4632,8262,58,882,4514,1120,191,799,374,77,88,36,236,814383,188,194,286,67,57,151,984,228,130,108,785,838830
NEUQUEN,2378,5977,58,1181,238,136,961,429,84,212,531,42,2484,309,397269,8365,359,262,220,504,702,88,272,130,615,423806
RIONEGRO,2958,8287,44,1210,215,96,2016,309,37,178,605,70,1137,178,5636,469381,286,168,126,523,577,119,513,206,635,495510
SALTA,4184,5336,401,2494,445,570,265,379,958,5404,116,122,806,269,357,188,913941,118,112,295,758,665,3373,243,1120,942919
SANJUAN,1618,3057,141,1779,59,75,291,92,47,134,69,623,3135,42,375,341,185,539464,588,213,225,98,219,195,535,553600
SANLUIS,2220,4954,60,4650,143,151,136,347,40,211,567,173,6111,122,294,188,164,1026,303811,112,793,85,150,119,773,327400
SANTACRUZ,1442,3875,282,1379,528,328,3072,551,337,374,143,157,851,307,454,796,572,195,91,156814,514,263,439,532,360,174656
SANTAFE,4175,14320,173,10841,2926,5491,393,6949,738,419,224,105,971,1150,539,528,748,121,509,305,2693817,1882,670,267,1613,2749874
SANTIAGO,3750,5939,398,2092,135,1137,96,108,153,185,31,65,221,119,98,96,490,86,76,83,1576,685997,1921,28,818,705698
TUCUMAN,3509,5968,1117,1350,173,378,138,142,134,2434,77,130,574,153,167,244,4428,166,77,149,548,2885,1166344,109,823,1192217
TIERRADELFUEGO,1159,4353,56,935,318,499,518,391,230,344,67,33,574,286,135,295,370,277,52,406,469,122,443,76985,194,89511
NOESPECIFICADO,342,893,172,321,129,99,44,151,48,55,39,28,129,86,55,82,94,48,54,35,269,140,148,19,2334,5814
Total,2669626,12450806,289900,2759506,828510,879411,366529,1041324,429446,545533,270907,248135,1427767,845629,418243,500125,946179,552240,316168,169637,2746532,709954,1193157,86214,29246,32720724
