res.hab,CABA,BuenosAires,Catamarca,Chaco,Chubut,Cordoba,Corrientes,EntreRios,Formosa,Jujuy,LaPampa,LaRioja,Mendoza,Misiones,Neuquen,RioNegro,Salta,SanJuan,SanLuis,SantaCruz,SantaFe,SantiagodelEstero,TierradelFuego,Tucuman,Ignorado,Total
CABA,2376107,145619,516,1869,3376,5979,4261,4737,2057,2199,1103,350,2432,5020,2150,2772,3916,577,816,1966,4462,1793,1353,2614,53,2578097
BuenosAires,228221,13595978,1581,12121,17020,14011,4993,12373,8142,3555,4640,828,5608,20405,6019,8409,6946,2142,3247,3014,16381,13069,2978,6669,368,13998718
Catamarca,841,2096,323027,33,77,678,18,14,22,124,10,310,137,25,26,27,202,73,20,125,91,537,8,880,12,329413
Chaco,2049,6545,37,932120,98,707,3177,202,1503,66,22,41,78,621,103,37,372,12,97,233,2471,1040,322,145,34,952132
Chubut,3470,9674,595,576,411936,2063,1401,705,935,689,441,341,2286,1002,1356,3078,1985,573,208,2731,1083,276,676,496,6,448582
Cordoba,8176,18895,2018,2695,2079,2884440,2747,2456,1936,3062,2635,2307,3098,2559,1817,1257,3632,1580,4745,2058,14370,4499,1276,1977,40,2976354
Corrientes,3307,9022,68,3524,224,760,866363,1566,1440,211,86,41,164,4790,200,126,382,86,114,393,2046,121,201,65,55,895355
EntreRios,5020,13050,34,386,431,1851,3123,1084032,390,225,106,70,339,2426,331,394,307,103,253,410,4971,230,276,144,32,1118934
Formosa,1690,3278,43,1329,102,667,1135,233,464057,138,30,25,77,298,160,134,536,52,33,301,466,222,119,173,25,475323
Jujuy,2752,3699,176,170,293,2167,184,236,268,583892,101,86,1231,142,217,180,4830,67,77,314,310,226,220,1416,53,603307
LaPampa,1186,4852,4,86,244,1574,112,202,169,70,275229,23,1238,201,529,904,198,100,517,238,237,46,79,94,2,288134
LaRioja,719,1715,1389,26,165,2223,137,24,135,430,10,290590,737,125,31,43,706,1069,89,180,195,220,23,522,5,301508
Mendoza,2960,6867,184,209,1102,2624,300,346,307,1058,648,544,1517057,509,2374,893,1728,2936,3330,824,1129,423,480,1118,20,1549970
Misiones,4566,10539,31,852,230,1302,4402,817,519,137,75,35,267,946653,182,179,294,56,84,318,1072,100,220,278,36,973244
Neuquen,2534,6727,186,288,758,1742,371,563,469,454,478,156,2694,410,459862,6936,1327,447,305,508,764,206,160,539,26,488910
RioNegro,3650,11152,72,290,2343,1361,510,326,389,317,786,142,1656,394,8507,532827,671,353,205,764,818,189,348,1049,7,569126
Salta,4114,5765,397,606,268,2954,675,237,704,5277,61,269,893,291,396,214,1049440,147,260,508,722,638,147,3024,120,1078127
SanJuan,1169,2298,85,33,205,1282,71,78,23,191,154,727,2397,50,194,240,282,594707,473,287,256,28,136,142,17,605525
SanLuis,1982,6577,31,112,136,4068,180,235,119,127,392,377,4302,144,245,162,116,750,366693,142,797,76,71,178,5,388017
SantaCruz,2023,6063,601,1278,2754,1894,1610,462,3634,1651,178,588,2052,1317,585,845,4062,586,323,198227,951,643,400,858,6,233591
SantaFe,5331,15584,222,6778,677,10904,4389,8565,1447,560,244,177,727,1318,605,407,1099,271,576,542,2845326,3077,318,692,86,2909922
SantiagodelEstero,2265,6371,516,861,104,1990,195,77,117,137,149,82,174,68,89,95,525,83,62,129,1499,763809,90,1930,38,781455
TierradelFuego,1276,4089,167,1150,383,880,917,519,1516,1216,55,47,538,2056,40,170,1618,364,28,380,605,152,90725,730,0,109621
Tucuman,2772,5689,1574,227,83,1414,163,223,109,2345,53,386,628,165,181,257,3687,158,92,178,599,2972,146,1285416,46,1309563
Ignorado,818,2307,21,119,40,418,104,152,51,82,17,3,262,231,98,53,152,46,33,133,327,481,6,330,182,6466
Total,2668998,13904451,333575,967738,445128,2949953,901538,1119380,490458,608213,287703,298545,1551072,991220,486297,560639,1089013,607338,382680,214903,2901948,795073,100778,1311479,1274,35969394
